UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Código de Conduta,Com qual das opções abaixo você se identifica?,Como você classificaria seu nível de conhecimento em Python?,Como você se define?,Como você se identifica?,Direitos de conteúdo e imagem,Termo de consentimento para tratamento de dados pessoais,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Você trabalha com Python
PI,Brejo do Piauí,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,01/05/2025 09:09:00,MEIA - ÚLTIMO LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Não
PI,Teresina,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,10/05/2025 00:48:00,MEIA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,15:29,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa negra,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,01/05/2025 22:46:00,INTEIRA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,10:01,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Sim
PI,Parnaíba,Brasil,Não Respondeu,Graduação,Ciências Sociais Aplicadas,Turismo,17/02/2025 17:14:00,PROMOCIONAL,Aprovado,sim,21/06/2025,08:34,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa branca,Mulher,SIM,SIM,Não respondeu,Há mais de três anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Homem,SIM,SIM,Não,Há mais de um ano,"Não, mas pretendo"
MA,São Luís,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 15:50:00,PROMOCIONAL,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de um ano,Sim
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,09/06/2025 18:35:00,Exclusivo da organização,Aprovado,sim,21/06/2025,12:16,sim,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa negra,Mulher,SIM,SIM,Não respondeu,Há mais de dez anos,Sim
SC,Florianópolis,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 17:28:00,INTEIRA - 1° LOTE,Aprovado,sim,21/06/2025,09:16,sim,sim,SIM,Heterossexual / Cisgênero,Avançado,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,01/04/2025 00:33:00,MEIA - 1° LOTE,Aprovado,sim,22/06/2025,08:30,sim,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Comecei no último ano,"Não, mas pretendo"
PI,Parnaíba,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,03/05/2025 14:27:00,MEIA - ÚLTIMO LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Mulher,SIM,SIM,Não,Não sei programar,"Não, mas pretendo"
PI,Piripiri,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,16/06/2025 23:44:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa negra,Mulher,SIM,SIM,Não respondeu,Há mais de um ano,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 16:14:00,PROMOCIONAL,Aprovado,sim,22/06/2025,10:33,sim,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/06/2025 20:46:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,09:50,sim,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa amarela,Homem,SIM,SIM,Não respondeu,Comecei no último ano,Não
