Produto,Preço,País,Estado,Cupom,Tamanho de camisa,Ano de nascimento,Como você se define?,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você trabalha com Python?,Termo de consentimento para tratamento de dados pessoais,Direitos de conteúdo e imagem,Você concorda em compartilhar seus dados com os patrocinadores?,Provedores de pagamento
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2004,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2001,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1998,Uma pessoa amarela,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2004,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),260,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1997,Uma pessoa negra,Não respondeu,Há mais de dez anos,Avançado,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),260,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,1992,Uma pessoa branca,Não respondeu,Não sei programar,Ainda vou aprender,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),260,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,1988,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1994,Uma pessoa parda,Autismo,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,4G - 68cm tórax - 80cm comprimento,1998,Uma pessoa negra,Nao,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,4G - 68cm tórax - 80cm comprimento,1998,Uma pessoa negra,Nao,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,3G - 64cm tórax - 78cm comprimento,1992,Uma pessoa branca,Não respondeu,Comecei no último ano,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,1998,Uma pessoa parda,Não respondeu,Não sei programar,Ainda vou aprender,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,GG - 60cm tórax - 76cm comprimento,1990,Uma pessoa parda,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,G - 56cm tórax - 73cm comprimento,1992,Uma pessoa negra,Não respondeu,Há mais de dez anos,Avançado,Sim,Sim,Sim,Não,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,G - 56cm tórax - 73cm comprimento,2003,Uma pessoa branca,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1991,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,M - 52cm tórax - 70cm comprimento,2001,Uma pessoa negra,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2004,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,G - 56cm tórax - 73cm comprimento,1988,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Não,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,KEYNOTE-ZWU2FNTUNLKKNZXV,M - 52cm tórax - 70cm comprimento,1993,Uma pessoa negra,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,KEYNOTE-ZWU2FNTUNLKKNZXV,P - 49cm tórax - 66cm comprimento,1990,Uma pessoa parda,Não,Há mais de cinco anos,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,KEYNOTE-ZWU2FNTUNLKKNZXV,P - 49cm tórax - 66cm comprimento,1996,Uma pessoa parda,Não respondeu,Há mais de dez anos,Avançado,Sim,Sim,Sim,Não,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,P - 49cm tórax - 66cm comprimento,1995,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Intermediário,Não,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1997,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,GG - 60cm tórax - 76cm comprimento,2004,Uma pessoa branca,Não respondeu,Há mais de um ano,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,1997,Uma pessoa negra,Física e auditiva,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,M - 52cm tórax - 70cm comprimento,1983,Uma pessoa branca,Não,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),126,Não respondeu,Não respondeu,ALUNOS_DA_NAY,G - 56cm tórax - 73cm comprimento,1966,Uma pessoa branca,Nao,Não sei programar,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,3G - 64cm tórax - 78cm comprimento,1974,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,LABCODES_8WPL3,4G - 68cm tórax - 80cm comprimento,1984,Uma pessoa parda,Não,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2003,Uma pessoa branca,Não,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (3º lote),252,Não respondeu,Não respondeu,PYLADIES,G - 56cm tórax - 73cm comprimento,1995,Uma pessoa parda,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),126,Não respondeu,Não respondeu,PYLADIES_MEIA,P - 49cm tórax - 66cm comprimento,1992,Uma pessoa branca,Não,Há mais de um ano,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,CDC-WG3RFSA4WN6HVESQ,PP - 46cm tórax - 63cm comprimento,1993,Uma pessoa parda,Não respondeu,Há mais de dez anos,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,3G - 64cm tórax - 78cm comprimento,2025,Uma pessoa negra,Não,Há mais de cinco anos,Intermediário,Sim,Sim,Sim,Não,Não respondeu
Ingresso (3º lote),280,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1985,Prefiro não responder,Não,Há mais de dez anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2004,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2003,Uma pessoa branca,Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1999,Uma pessoa parda,sim,Comecei no último ano,Iniciante,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1995,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),280,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1994,Uma pessoa parda,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,GG - 60cm tórax - 76cm comprimento,2001,Uma pessoa parda,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,CDC-WG3RFSA4WN6HVESQ,G - 56cm tórax - 73cm comprimento,2000,Uma pessoa negra,Não respondeu,Não sei programar,Ainda vou aprender,Não,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1989,Uma pessoa parda,NÃO,Há mais de um ano,Iniciante,"Não, mas pretendo",Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1995,Uma pessoa negra,Não respondeu,Há mais de um ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),252,Não respondeu,Não respondeu,ARTEMISIA10,3G - 64cm tórax - 78cm comprimento,1999,Uma pessoa branca,Não,Comecei no último ano,Iniciante,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),126,Não respondeu,Não respondeu,PYLADIES_MEIA,P - 49cm tórax - 66cm comprimento,2000,Uma pessoa parda,"TEA, TDAH, FIBROMIALGIA",Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),0,Não respondeu,Não respondeu,MATHEUS-S36WN,G - 56cm tórax - 73cm comprimento,1999,Uma pessoa parda,NÃO,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),0,Não respondeu,Não respondeu,MATHEUS-S36WN,G - 56cm tórax - 73cm comprimento,1993,Uma pessoa branca,NÃO,"Não programo em Python, mas sei programar em outras linguagens",Ainda vou aprender,"Não, mas pretendo",Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,1998,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,3G - 64cm tórax - 78cm comprimento,2004,Uma pessoa branca,NÃO,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),126,Não respondeu,Não respondeu,ALUNOS_DA_NAY,M - 52cm tórax - 70cm comprimento,2001,Uma pessoa branca,Nao,Não sei programar,Ainda vou aprender,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2002,Uma pessoa branca,Não,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),280,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2008,Uma pessoa branca,Não respondeu,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,3G - 64cm tórax - 78cm comprimento,1997,Uma pessoa parda,Não,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,1986,Uma pessoa parda,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2005,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2002,Uma pessoa branca,Não respondeu,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),0,Não respondeu,Não respondeu,PYLADIES_FOR_62XE7,P - 49cm tórax - 66cm comprimento,1996,Uma pessoa parda,Não,Há mais de cinco anos,Intermediário,Não,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,PYLADIES_FOR_62XE7,M - 52cm tórax - 70cm comprimento,2006,Uma pessoa branca,Não possuo,Há mais de um ano,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,PYLADIES_FOR_62XE7,M - 52cm tórax - 70cm comprimento,1985,Uma pessoa parda,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,1993,Uma pessoa parda,N,Não sei programar,Iniciante,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),280,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1983,Uma pessoa parda,Não respondeu,Comecei no último ano,Iniciante,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),0,Não respondeu,Não respondeu,VALHA-MEU-PY,G - 56cm tórax - 73cm comprimento,1997,Uma pessoa parda,NÃO,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Não respondeu
"Compre um, doe um (3º lote)",0,Não respondeu,Não respondeu,VALHA-MEU-PY,P - 49cm tórax - 66cm comprimento,2002,Uma pessoa negra,não,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (3º lote),0,Não respondeu,Não respondeu,PYLADIES_FOR_62XE7,M - 52cm tórax - 70cm comprimento,2002,Uma pessoa branca,Não respondeu,Comecei no último ano,Iniciante,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,3G - 64cm tórax - 78cm comprimento,1999,Uma pessoa parda,Nao,Há mais de três anos,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),252,Não respondeu,Não respondeu,ARIANA10,3G - 64cm tórax - 78cm comprimento,1987,Uma pessoa parda,"Sim, visão monocular",Há mais de dez anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1995,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (3º lote),280,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2002,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (3º lote),140,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2002,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (3º lote),0,Não respondeu,Não respondeu,PYLADIES_FOR_62XE7,G - 56cm tórax - 73cm comprimento,1993,Uma pessoa parda,Não,Há mais de um ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Não respondeu
