Produto,Preço,País,Estado,Cupom,Tamanho de camisa,Ano de nascimento,Como você se define?,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você trabalha com Python?,Termo de consentimento para tratamento de dados pessoais,Direitos de conteúdo e imagem,Você concorda em compartilhar seus dados com os patrocinadores?,Provedores de pagamento
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1992,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1996,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,1994,Uma pessoa branca,Sim multiplas,Há mais de cinco anos,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1985,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (1º lote),220,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1998,Uma pessoa branca,Não respondeu,Há mais de dez anos,Avançado,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Ingresso (1º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,M - 52cm tórax - 70cm comprimento,1997,Uma pessoa negra,Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Sim,Sim,Não respondeu,Não respondeu
Ingresso (1º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,M - 52cm tórax - 70cm comprimento,2003,Uma pessoa parda,Não respondeu,Há mais de cinco anos,Intermediário,Sim,Sim,Sim,Não respondeu,Não respondeu
Ingresso (1º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,G - 56cm tórax - 73cm comprimento,1993,Uma pessoa negra,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Não respondeu,Não respondeu
Ingresso (1º lote),220,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2001,Uma pessoa parda,não,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (1º lote),220,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1998,Uma pessoa branca,"Sim, possuo baixa mobilidade",Há mais de cinco anos,Avançado,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1993,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (1º lote),220,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1993,Uma pessoa parda,Não respondeu,Não sei programar,Ainda vou aprender,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2003,Uma pessoa parda,Não respondeu,Há mais de cinco anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2000,Uma pessoa branca,Não respondeu,Há mais de cinco anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1982,Uma pessoa parda,Não respondeu,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,2008,Uma pessoa branca,Não respondeu,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2007,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,1992,Uma pessoa negra,Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2007,Uma pessoa parda,Não,Há mais de um ano,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2005,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2026,Uma pessoa amarela,Não respondeu,Há mais de cinco anos,Avançado,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),0,Não respondeu,Não respondeu,MICHELLY-D8M9W2PW83A96C7P,P - 49cm tórax - 66cm comprimento,2006,Uma pessoa parda,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Não,Não respondeu
Meia entrada (1º lote),0,Não respondeu,Não respondeu,KAILLANY-DSUW2HYDQRYC34CU,P - 49cm tórax - 66cm comprimento,2006,Uma pessoa parda,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Não,Não respondeu
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2004,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,"Não, mas pretendo",Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2006,Uma pessoa parda,Não,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),0,Não respondeu,Não respondeu,CDC-WG3RFSA4WN6HVESQ,PP - 46cm tórax - 63cm comprimento,1992,Uma pessoa parda,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (1º lote),0,Não respondeu,Não respondeu,CDC-WG3RFSA4WN6HVESQ,G - 56cm tórax - 73cm comprimento,1991,Uma pessoa branca,Não,Há mais de um ano,Iniciante,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (1º lote),220,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2006,Uma pessoa branca,não,Comecei no último ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (1º lote),220,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1997,Uma pessoa parda,Não respondeu,Há mais de dez anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2006,Uma pessoa branca,Não,Há mais de um ano,Iniciante,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (2º lote),260,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1996,Uma pessoa branca,Não respondeu,Há mais de dez anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,2005,Uma pessoa negra,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens",Ainda vou aprender,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1991,Uma pessoa negra,Não,Não sei programar,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2002,Uma pessoa parda,Não respondeu,Comecei no último ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2009,Prefiro não responder,Não,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2004,Uma pessoa negra,Não respondeu,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,2003,Uma pessoa parda,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2005,Uma pessoa branca,Não,Há mais de cinco anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2005,Uma pessoa parda,Não,Há mais de três anos,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2002,Uma pessoa parda,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,3G - 64cm tórax - 78cm comprimento,2004,Uma pessoa parda,"Sim, Autismo, TDAH",Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,M - 52cm tórax - 70cm comprimento,2006,Outro,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,M - 52cm tórax - 70cm comprimento,2005,Uma pessoa parda,Não respondeu,Comecei no último ano,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2005,Uma pessoa branca,Não,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,GG - 60cm tórax - 76cm comprimento,2007,Uma pessoa parda,não,"Não programo em Python, mas sei programar em outras linguagens",Ainda vou aprender,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,M - 52cm tórax - 70cm comprimento,2004,Uma pessoa negra,não,"Não programo em Python, mas sei programar em outras linguagens",Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2006,Uma pessoa branca,Não,Há mais de três anos,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,PP - 46cm tórax - 63cm comprimento,1999,Uma pessoa parda,Não respondeu,Há mais de um ano,Iniciante,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,P - 49cm tórax - 66cm comprimento,1997,Uma pessoa branca,Não respondeu,Há mais de dez anos,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Ingresso (2º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,G - 56cm tórax - 73cm comprimento,1996,Uma pessoa parda,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Não respondeu
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,GG - 60cm tórax - 76cm comprimento,2001,Uma pessoa negra,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2001,Uma pessoa parda,Não,Há mais de um ano,Intermediário,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,M - 52cm tórax - 70cm comprimento,2004,Uma pessoa branca,Não respondeu,Há mais de três anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2004,Uma pessoa branca,Não respondeu,Não sei programar,Ainda vou aprender,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,PP - 46cm tórax - 63cm comprimento,2002,Uma pessoa branca,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,PP - 46cm tórax - 63cm comprimento,2005,Uma pessoa negra,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2001,Uma pessoa parda,Não se aplica,Há mais de três anos,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2000,Uma pessoa branca,Não respondeu,Comecei no último ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
